FFT_SIZE,Setup+FWD,FWD,BWD
32,0.000000520 ,0.000000200 ,0.000000300 
64,0.000000711 ,0.000000340 ,0.000000449 
128,0.000001680 ,0.000000590 ,0.000001200 
256,0.000002270 ,0.000001039 ,0.000002089 
512,0.000004431 ,0.000002201 ,0.000004360 
1024,0.000006160 ,0.000004440 ,0.000005781 
2048,0.000046210 ,0.000011749 ,0.000013630 
4096,0.000087130 ,0.000028329 ,0.000028720 
8192,0.000208790 ,0.000094110 ,0.000092080 
16384,0.000420070 ,0.000184098 ,0.000181459 
32768,0.000915410 ,0.000440479 ,0.000438591 
65536,0.001911079 ,0.000962630 ,0.000953840 
131072,0.003842290 ,0.001935560 ,0.001921210 
262144,0.008631930 ,0.004795928 ,0.004823100 
524288,0.018787630 ,0.010157569 ,0.010194140 
1048576,0.038650099 ,0.020556372 ,0.020473041 
